SC_Profit,Columbia_Profit
" $1,819.54 ", $897.10 
 $402.07 , $(284.62)
" $1,839.89 ", $(609.83)
" $1,171.58 ", $(193.22)
 $(567.49), $750.04 
" $(1,210.70)", $337.70 
 $(449.59), $(749.83)
" $1,893.58 ", $(309.08)
" $1,009.97 ", $(523.88)
 $(377.09), $414.46 
 $306.11 ," $1,038.13 "
" $2,056.58 "," $1,116.31 "
" $2,198.08 ", $231.48 
 $853.08 , $(454.89)
 $680.79 , $(423.58)
" $(1,486.50)", $(441.14)
" $1,948.94 ", $(257.95)
 $(334.96), $(68.16)
" $1,633.18 ", $356.90 
 $474.50 , $602.07 
 $648.67 , $(303.24)
" $1,329.19 ", $(66.65)
 $624.91 , $(115.18)
 $902.38 , $(700.28)
 $620.80 ," $1,315.52 "
 $682.38 ," $1,393.25 "
 $907.89 , $(104.66)
 $744.62 ," $1,156.98 "
 $(659.57)," $1,223.94 "
" $1,497.13 "," $1,073.34 "
" $1,324.36 ", $(331.72)
" $1,465.50 ", $635.86 
 $422.89 , $872.79 
 $888.92 , $(155.46)
 $916.96 ," $1,092.01 "
 $576.67 ," $1,121.28 "
 $(24.59)," $1,194.09 "
 $870.14 , $974.89 
 $813.78 , $(40.07)
" $(1,008.74)", $161.24 
" $1,286.86 "," $1,179.96 "
 $(896.91)," $1,221.73 "
 $(842.95), $54.29 
 $249.38 , $889.59 
 $597.18 , $676.66 
 $(385.93)," $1,535.12 "
 $(867.48), $(455.63)
" $1,543.34 ", $956.90 
" $1,102.35 "," $1,163.64 "
" $1,347.23 ", $(398.04)
" $1,041.87 "," $1,306.88 "
" $2,357.30 "," $1,195.84 "
 $(45.44), $(78.55)
 $(965.40)," $1,716.95 "
" $1,975.01 "," $1,064.04 "
 $980.61 , $356.99 
" $1,012.11 "," $1,738.22 "
" $2,548.13 ", $947.87 
 $271.70 ," $1,089.65 "
 $777.03 , $768.34 
" $1,283.32 ", $535.22 
 $702.68 , $869.64 
" $2,082.76 ", $443.60 
" $1,151.48 ", $(139.31)
 $857.22 , $(109.79)
 $913.74 , $887.34 
 $328.07 , $(553.68)
 $(625.99), $(62.74)
" $1,267.68 "," $1,331.87 "
" $1,466.85 ", $(53.67)
" $1,051.95 ", $(15.91)
 $472.19 ," $1,444.91 "
" $1,367.78 "," $1,021.54 "
 $707.16 ," $1,536.96 "
" $1,450.27 "," $1,123.79 "
" $1,749.98 ", $33.09 
" $1,611.75 ", $6.31 
" $6,217.42 ", $294.15 
" $1,229.26 "," $1,043.06 "
" $1,816.69 ", $348.85 
 $133.49 , $877.41 
 $200.18 , $999.30 
 $911.65 , $(87.68)
" $1,327.22 "," $1,332.33 "
" $1,151.24 "," $1,002.95 "
" $1,258.43 "," $1,392.80 "
" $(1,118.02)"," $1,183.06 "
 $374.56 ," $1,025.15 "
 $293.65 , $141.51 
 $655.76 , $16.90 
 $575.45 , $(559.10)
 $(839.13), $634.63 
" $1,876.15 "," $1,126.90 "
 $690.48 , $732.94 
" $1,437.78 ", $921.59 
 $898.92 , $270.03 
 $778.50 , $306.82 
 $882.77 , $(0.93)
" $2,601.82 "," $1,266.47 "
 $340.14 ," $1,002.67 "
" $1,552.13 "," $1,345.84 "
 $954.95 ," $1,109.44 "
" $1,117.70 ", $890.12 
" $1,758.09 ", $886.27 
" $1,363.10 "," $1,479.44 "
 $782.91 , $(383.36)
 $607.15 ," $1,091.45 "
 $466.09 ," $1,030.40 "
" $(1,039.32)", $121.90 
 $846.66 , $(106.26)
 $610.94 ," $1,128.99 "
 $(890.38), $928.71 
 $725.51 , $(520.74)
" $(1,048.64)", $738.41 
 $(37.43), $119.64 
" $1,150.40 ", $(214.15)
 $410.74 , $(291.10)
 $(456.78)," $1,255.19 "
 $319.02 , $917.02 
 $692.38 , $(655.68)
" $1,457.74 ", $(376.35)
" $1,900.25 ", $(169.53)
 $515.45 , $143.64 
 $534.92 , $512.23 
 $232.71 , $605.45 
 $(739.06)," $1,399.36 "
" $1,937.45 ", $(130.58)
" $1,232.10 ", $250.49 
" $1,698.68 "," $1,244.28 "
" $1,698.84 "," $1,298.68 "
" $1,779.51 ", $166.23 
" $1,463.64 ", $(381.74)
 $(103.17)," $1,051.86 "
" $2,858.37 "," $1,195.27 "
 $717.74 , $840.77 
 $(124.14), $781.97 
" $1,342.98 "," $1,083.21 "
 $469.96 , $880.06 
" $1,660.17 ", $730.15 
 $259.87 , $(292.09)
 $894.79 , $26.63 
" $1,035.31 ", $733.69 
" $1,248.42 "," $1,234.37 "
 $407.19 ," $1,002.24 "
 $419.60 , $322.53 
 $421.24 , $327.79 
" $1,370.71 ", $(7.25)
 $601.10 , $44.06 
" $1,704.85 ", $831.61 
 $630.10 ," $1,057.12 "
 $884.11 ," $1,459.50 "
 $688.93 , $(224.00)
 $(419.34)," $1,664.91 "
 $918.16 , $467.45 
" $1,237.30 ", $96.18 
 $434.72 ," $1,540.06 "
" $1,084.15 ", $848.50 
" $1,215.24 ", $826.82 
" $1,190.09 ", $972.23 
 $783.24 ," $1,222.37 "
" $1,005.65 "," $1,074.08 "
" $1,902.02 ", $147.73 
" $1,104.50 "," $1,286.57 "
 $58.75 , $800.20 
" $1,605.85 "," $1,051.26 "
 $(599.96), $(153.25)
 $43.31 , $839.55 
 $506.13 ," $1,689.27 "
" $2,024.02 ", $330.38 
" $1,393.83 "," $1,054.69 "
" $1,198.78 ", $(83.82)
 $308.08 , $650.03 
" $1,256.16 ", $181.84 
" $1,925.02 "," $1,185.83 "
" $1,024.28 ", $907.73 
 $267.43 , $705.65 
" $2,112.81 ", $433.77 
" $1,381.85 "," $1,104.80 "
 $425.20 , $730.07 
" $1,632.90 ", $123.38 
 $52.09 , $841.29 
 $499.24 , $(260.89)
" $1,308.96 ", $(20.69)
 $411.81 , $(396.18)
 $721.81 , $71.43 
" $1,005.43 "," $1,034.18 "
 $(141.02), $(688.51)
" $1,156.88 "," $1,101.91 "
 $505.80 , $203.31 
 $940.99 , $(382.22)
 $258.50 ," $1,255.23 "
" $(1,186.99)"," $1,265.85 "
 $37.70 , $136.09 
" $2,137.75 "," $1,752.32 "
" $1,722.20 ", $(133.34)
" $1,992.28 ", $(421.35)
 $183.11 ," $1,062.13 "
 $926.87 , $294.81 
" $1,464.66 "," $1,492.06 "
 $(951.81), $41.24 
 $(284.27)," $1,360.03 "
" $1,938.91 ", $271.91 
" $1,918.75 ", $380.28 
 $215.12 ," $1,049.26 "
 $388.75 ," $1,016.34 "
" $1,772.70 ", $763.00 
" $1,534.70 ", $701.33 
 $512.91 , $114.82 
" $1,542.51 ", $(393.97)
" $(1,482.97)", $(82.46)
